112,Nate Darling,Cha,G,22.54,1,3.6,7.5,11.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
113,Anthony Davis,Lal,F-C,28.01,23,32.8,68.4,27.9,9.3,130,0.715,325,0.575,58,0.293,0.555,0.588,22.5,8.4,14.3,3,15.9,1.35,1.78,1.96,10.1,116,101.4
114,Ed Davis,Min,C-F,31.78,19,13.9,29,8.3,11.4,8,0.875,43,0.419,0,0,0.419,0.462,2.3,5.1,19.6,1,9.4,0.53,0.53,0.32,6.5,121.4,95.9
115,Terence Davis,Tor,G,23.83,33,14.8,30.8,21.4,11.1,18,0.889,87,0.483,121,0.364,0.519,0.537,7,2,7.3,1.1,11.4,0.52,0.21,0.82,6.7,101.1,106.9
116,DeMar DeRozan,San,G-F,31.6,30,33.9,70.7,23.9,8.9,204,0.882,367,0.515,53,0.321,0.511,0.597,20.3,4.7,7.3,7.3,33,0.97,0.27,1.67,10.5,125.3,108.6
117,Mamadi Diakite,Mil,F,24.15,1,5.3,11,15.8,0,0,0,2,0.5,0,0,0.5,0.5,2,2,19.8,2,51.4,0,1,0,15.1,138.4,69.8
118,Hamidou Diallo,Okc,G,22.62,32,23.8,49.5,23.2,12.1,132,0.629,256,0.512,41,0.293,0.502,0.536,11.9,5.2,11.4,2.4,16.3,0.97,0.38,1.53,8.9,105.1,101
119,Gorgui Dieng,Mem,C,31.15,22,16.9,35.2,16.9,14.8,43,0.884,60,0.55,48,0.479,0.625,0.682,7.9,4.5,14.3,1.3,10.6,0.77,0.64,1,8.5,126.8,101.5
120,Spencer Dinwiddie,Bro,G,27.94,3,21.4,44.7,16,21.2,6,1,9,0.444,7,0.286,0.438,0.536,6.7,4.3,11.4,3,17.4,0.67,0.33,1.67,8.3,102.4,108.5
121,Donte DiVincenzo,Mil,G,24.12,38,26.6,55.5,17.4,11.7,40,0.65,168,0.458,185,0.378,0.516,0.526,10.3,5,9.8,2.9,14.2,1.08,0.21,1.29,8,109.4,107.9
122,Luka Doncic,Dal,F-G,22.04,34,35.2,73.3,35.5,14.8,264,0.754,446,0.549,258,0.349,0.54,0.585,28.2,8.4,13,9.1,46.5,0.94,0.65,4.18,14.7,114.2,108.5
123,Luguentz Dort,Okc,G,21.9,37,29.7,61.9,19.9,10.8,100,0.78,183,0.454,219,0.329,0.475,0.516,12.4,3.6,6.3,1.6,7.9,0.84,0.27,1.46,5.6,98.2,106.7
124,Damyean Dotson,Cle,G,26.86,31,18.8,39.1,17.7,10.5,28,0.714,95,0.526,106,0.274,0.465,0.485,6.7,1.9,5.6,2.2,17.5,0.42,0.13,0.81,6.5,101.1,114.2
125,Devon Dotson,Chi,G,21.62,1,9.5,19.8,18,0,0,0,4,0.5,0,0,0.5,0.5,4,1,5.8,0,0,0,0,0,0,98.5,107.6
126,Sekou Doumbouya,Det,F,20.22,34,13.2,27.4,16.7,11.1,26,0.731,81,0.432,60,0.25,0.408,0.44,3.9,2.2,9.3,0.6,7.3,0.38,0.06,0.56,5.2,90.1,104.1
127,PJ Dozier,Den,G-F,24.38,23,19.7,41.1,16.8,9.8,38,0.605,82,0.476,58,0.379,0.514,0.533,7.3,3.9,11.1,1.6,10.8,0.52,0.57,0.74,7.3,110.5,106.7
128,Goran Dragic,Mia,G,34.86,25,27.1,56.5,25.8,17.4,73,0.836,171,0.509,119,0.361,0.522,0.565,14.6,3.2,6.6,4.9,30.2,0.6,0.12,2.72,9,104.2,104.4
129,Andre Drummond,Cle,C,27.6,25,28.9,60.2,31,15.6,129,0.597,372,0.484,8,0,0.474,0.5,17.5,13.5,26.2,2.6,16,1.6,1.16,3.24,11.8,97.3,100.1
130,Jared Dudley,Lal,F,35.68,11,6.9,14.4,5.1,22.2,0,0,2,0,5,0.4,0.429,0.429,0.5,1.7,14,0.5,7.9,0.09,0.09,0.18,4.4,106.6,99.4
131,Kevin Durant,Bro,F,32.46,19,35.8,74.5,31.4,13.7,145,0.869,246,0.565,113,0.434,0.592,0.652,29,7.3,11.5,5.3,23.7,0.74,1.42,3.53,11.6,119.5,109.2
132,Anthony Edwards,Min,G,19.61,39,29.5,61.5,26.2,10.3,101,0.802,350,0.429,251,0.315,0.447,0.479,15.8,4.1,7.4,2.5,13.2,0.92,0.38,1.9,7.4,94.4,113.6
133,Carsen Edwards,Bos,G,23.01,15,10.6,22,20.3,2.7,9,0.778,33,0.636,36,0.306,0.543,0.562,5.5,1.2,6.4,0.6,8.6,0.33,0.07,0.13,6,118.3,105.3
